Compute Information
-------------------
          Project ID     Allocation          Usage     % used       High     % high
          ----------     ----------          -----     ------       ----     ------
          pawsey0420        1875000        3549012      189.3          0        0.0
             --yliu6                          5276        0.3          0        0.0
        --rmunaweera                             2        0.0          0        0.0
           --psutton                         30255        1.6          0        0.0
              --yhao                         16404        0.9          0        0.0
             --aks19                       3368204      179.6          0        0.0
               --yfu                        128869        6.9          0        0.0
      pawsey0420-gpu        1600000        1442380       90.1          0        0.0
               --ada                        368963       23.1          0        0.0
        --rmunaweera                        133161        8.3          0        0.0
              --yhao                         96796        6.0          0        0.0
               --yfu                        293559       18.3          0        0.0
           --psutton                         50402        3.2          0        0.0
             --aks19                        499496       31.2          0        0.0
